total_decision_steps,total_minutes,final_metrics,moe_cumulative_reward,propagation_factor,scenario,scenario_name,scenario_path,ignition_pos,sim_seed,delta_moe_total,fire_detection_delay_minutes,response_time_seconds
20,200.0,"{'burnt_area_m2': 5548075.0, 'fire_cost_eur': 151456145.88, 'casualties': 3790.0, 'emissions_tonnes': 5260.42}",-0.0286420669717941,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(68101.24460280314, 71317.63323586248)",792294,-1.0263170096677587,60.0,3600.0
17,170.0,"{'burnt_area_m2': 6434125.0, 'fire_cost_eur': 535084560.02, 'casualties': 7942.0, 'emissions_tonnes': 9621.69}",-0.0433504324849586,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(67321.24460280128, 70662.63323586388)",352633,-1.0418280846987882,60.0,3600.0
16,160.0,"{'burnt_area_m2': 5023050.0, 'fire_cost_eur': 199889291.07, 'casualties': 4046.0, 'emissions_tonnes': 5304.49}",-0.0275582789416127,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(67376.24460280314, 71227.6332358648)",724323,-1.0255803293462562,60.0,3600.0
31,310.0,"{'burnt_area_m2': 13969650.0, 'fire_cost_eur': 1606914.4, 'casualties': 5738.0, 'emissions_tonnes': 2869.49}",-0.0486836106893611,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(71256.24460280314, 67942.63323586248)",644487,-1.047474183558294,60.0,3600.0
39,390.0,"{'burnt_area_m2': 16585475.0, 'fire_cost_eur': 99906674.0, 'casualties': 7789.0, 'emissions_tonnes': 3992.78}",-0.0598580078192176,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(72056.24460280314, 68607.63323586341)",14524,-1.059264768332501,60.0,3600.0
10,100.0,"{'burnt_area_m2': 494375.0, 'fire_cost_eur': 67816.0, 'casualties': 242.0, 'emissions_tonnes': 121.1}",0.9982074161485586,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70561.24460280128, 68277.63323586341)",107220,-0.0011206710688471,60.0,3600.0
20,200.0,"{'burnt_area_m2': 7741800.0, 'fire_cost_eur': 1891006043.5, 'casualties': 21965.0, 'emissions_tonnes': 19958.1}",-0.0801000019473235,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(68436.24460280128, 71182.63323586341)",500706,-1.077615707062423,60.0,3600.0
26,260.0,"{'burnt_area_m2': 2207425.0, 'fire_cost_eur': 281836.8, 'casualties': 1006.0, 'emissions_tonnes': 503.28}",0.9921294493131708,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(68231.24460280314, 68292.63323586388)",198891,-0.007292603621404,60.0,3600.0
13,130.0,"{'burnt_area_m2': 840175.0, 'fire_cost_eur': 110672.8, 'casualties': 395.0, 'emissions_tonnes': 197.63}",0.9969827006890596,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(71931.24460280314, 70772.63323586341)",989461,-0.0020444688071378,60.0,3600.0
15,150.0,"{'burnt_area_m2': 1260350.0, 'fire_cost_eur': 161134.4, 'casualties': 575.0, 'emissions_tonnes': 287.74}",0.9955049842531384,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(69331.24460280128, 67757.63323586388)",313164,-0.003391056732799,60.0,3600.0
