scenario,scenario_name,scenario_path,seed,ignition_pos,total_decision_steps,total_minutes,mission_hours,burnt_area_m2,fire_cost_eur,casualties,emissions_tonnes,moe_cumulative_reward,propagation_factor,episode_reward_sum,wall_seconds,run,policy_type,policy_name,policy_source
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,197792238,"(79736.20081449818, 109299.39097409043)",20,200.0,3.3333333333333335,16927575.0,6625753.75,7411.0,247534.54,-0.25412935866925435,1.0,-1.2534523957480217,121.37832000805065,51,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1556474545,"(79217.23767214334, 109566.290103307)",20,200.0,3.3333333333333335,17974750.0,7953144.98,7751.0,307084.84,-0.2715800316967337,1.0,-1.270982856356638,115.57267217710614,52,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,629526660,"(79251.37998414037, 111003.43926062342)",22,220.0,3.6666666666666665,12203550.0,11559789.62,4891.0,255677.18,-0.18017715194509842,1.0,-1.1782875831796251,62.86935599334538,53,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1162275821,"(79975.19699847738, 110846.03721005842)",2,20.0,0.3333333333333333,24700.0,4289.6,15.0,7.66,0.9995619934672689,0.0,-0.0002473929983833889,7.972434191033244,54,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1986274267,"(79422.0915441255, 110401.20532803237)",18,180.0,3.0,13482175.0,5411639.17,6030.0,200335.29,-0.2059284609026596,1.0,-1.2042213648383437,73.6340591236949,55,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,594619332,"(79654.2592657053, 110852.88077747263)",22,220.0,3.6666666666666665,15724275.0,6516778.33,6839.0,245776.28,-0.2366148490016624,1.0,-1.2353607558720685,85.71475889114663,56,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1558804747,"(80098.10932166669, 108717.6877437476)",22,220.0,3.6666666666666665,14951775.0,18954261.4,6372.0,189285.63,-0.21720024576911312,1.0,-1.2137680815244343,109.98365856008604,57,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,344997561,"(79504.03309291838, 110763.91440106835)",17,170.0,2.8333333333333335,12038775.0,4934408.85,5170.0,185267.73,-0.17919723860625592,1.0,-1.1776688796980328,67.09770359797403,58,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,692725760,"(78821.1868529778, 110907.62931680027)",12,120.0,2.0,7898750.0,3863014.38,3619.0,150394.47,-0.1263044569450671,1.0,-1.1223997434777195,52.822407820262015,59,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,2082898963,"(78793.87300338018, 109928.99917634204)",16,160.0,2.6666666666666665,8643600.0,4296313.9,4055.0,167568.65,-0.14090055717847838,1.0,-1.1405963478220555,57.69419878302142,60,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,904342678,"(79797.65697609283, 110763.91440106835)",18,180.0,3.0,12038675.0,4236036.17,5611.0,147553.87,-0.1862237710261877,1.0,-1.1858433054612614,82.33314162539318,61,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
