scenario,scenario_name,scenario_path,seed,ignition_pos,total_decision_steps,total_minutes,mission_hours,burnt_area_m2,fire_cost_eur,casualties,emissions_tonnes,moe_cumulative_reward,propagation_factor,episode_reward_sum,wall_seconds,run,policy_type,policy_name,policy_source
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1927968620,"(63587.31431974331, 89667.84087183326)",11,110.0,1.8333333333333333,845800.0,922922.12,933.0,38754.98,0.9424389147005934,0.0,-0.03583277103219473,26.52605165168643,225,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,553627981,"(63454.551289259456, 89991.84760494623)",14,140.0,2.3333333333333335,985300.0,1134662.12,921.0,48989.77,0.938510394750508,0.0,-0.05059553806802497,31.322023819666356,226,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1978220499,"(63852.84038071148, 89057.94584479835)",10,100.0,1.6666666666666667,609750.0,711371.62,628.0,30409.88,0.9594963044267721,0.0,-0.0253475228081812,23.802870769053698,227,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1638806043,"(65471.284942804836, 91021.04546306748)",17,170.0,2.8333333333333335,1211250.0,1575251.75,508.0,72593.97,0.9460837269516018,0.0,-0.04175663952210462,37.55985370511189,228,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,370438202,"(65534.505433511455, 91071.87004865333)",11,110.0,1.8333333333333333,817500.0,1079519.25,257.0,50289.75,0.9667346958916326,0.0,-0.024615741961864113,26.69855549512431,229,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1498715030,"(63998.247509337496, 89254.89111394342)",11,110.0,1.8333333333333333,628150.0,750253.62,615.0,32357.0,0.9592445699988027,0.0,-0.024183147581489206,23.754846679978073,230,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1661094691,"(64377.57045357814, 89871.13921417762)",19,190.0,3.1666666666666665,1333000.0,1569085.0,1126.0,68627.64,0.9209884492892808,0.0,-0.05165066262596063,42.06988845206797,231,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,276323618,"(63789.61989000533, 90245.97053287644)",12,120.0,2.0,537550.0,775258.38,155.0,36291.4,0.9775795259525815,0.0,-0.015202935600248435,23.47623042901978,232,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,278558772,"(64206.875128669664, 89337.48106552195)",8,80.0,1.3333333333333333,345025.0,391337.5,469.0,15998.34,0.9727692834853884,0.0,-0.011797412504489846,18.322579615283757,233,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,807966029,"(63606.28046695562, 91109.98848784342)",9,90.0,1.5,338350.0,467821.0,269.0,20856.36,0.9794405340427008,0.0,-0.011855696851237107,19.421762100420892,234,random_tactic,random_tactics,random
